代號,校名,系名,標準,考取級分
明志科技大學,經營管理系,總級分(26),1,43
德明財經科技大學,財政稅務系,總級分(23),1,43
文藻外語大學,國際企業管理系,總級分(36),1,43
致理科技大學,財務金融系,總級分(45),1,43
致理科技大學,會計資訊系,總級分(26),1,43
致理科技大學,行銷與流通管理系,總級分(41),1,43
致理科技大學,國際貿易系,總級分(38),1,43
國立屏東大學,應用日語學系,總級分(39),1,43
國立屏東大學,行銷與流通管理學系,總級分(49),1,43
中原大學,國際經營與貿易學系,"09商管群/超篩總級分(57),國文(9),英文(12)",1,43
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",1,43
中原大學,資訊管理學系(資管類),總級分(56),1,43
靜宜大學,國際企業學系,"超篩總級分(44),英文(10)",1,43
世新大學,資訊管理學系資訊科技組,總級分(41),1,43
銘傳大學,國際企業學系（台北校區）,總級分(36),1,43
實踐大學,國際經營與貿易學系（臺北校區）,總級分(31),1,43
實踐大學,風險管理與保險學系（臺北校區）,總級分(47),1,43
真理大學,企業管理學系,總級分(24),1,43
國立高雄科技大學,漁業生產與管理系,總級分(47),1,44
國立高雄科技大學,海事資訊科技系,總級分(50),1,44
國立虎尾科技大學,應用外語系,總級分(54),1,44
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",1,44
國立臺中科技大學,老人服務事業管理系,總級分(26),1,44
朝陽科技大學,財務金融系,總級分(45),1,44
朝陽科技大學,行銷與流通管理系,總級分(45),1,44
南臺科技大學,行銷與流通管理系,總級分(26),1,44
致理科技大學,企業管理系,總級分(41),1,44
國立屏東大學,資訊管理學系,總級分(45),1,44
靜宜大學,國際企業學系,"超篩總級分(44),英文(10)",1,44
銘傳大學,國際企業學系（台北校區）,總級分(36),1,44
國立屏東科技大學,工業管理系,總級分(46),2,45
致理科技大學,財務金融系,總級分(45),2,45
國立屏東科技大學,企業管理系,總級分(52),1,45
國立澎湖科技大學,資訊管理系,總級分(46),1,45
國立澎湖科技大學,行銷與物流管理系,總級分(37),1,45
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",1,45
國立臺中科技大學,老人服務事業管理系,總級分(26),1,45
朝陽科技大學,財務金融系,總級分(45),1,45
台南應用科技大學,財務金融系,總級分(33),1,45
台南應用科技大學,企業管理系廣告與數位行銷組,總級分(24),1,45
德明財經科技大學,會計資訊系,總級分(27),1,45
德明財經科技大學,財政稅務系,總級分(23),1,45
德明財經科技大學,財務金融系,總級分(37),1,45
醒吾科技大學,新媒體傳播系,總級分(24),1,45
文藻外語大學,西班牙語文系,總級分(27),1,45
文藻外語大學,翻譯系,總級分(43),1,45
致理科技大學,休閒遊憩管理系,總級分(20),1,45
崇右影藝科技大學,影視傳播系,總級分(29),1,45
國立屏東大學,會計學系,總級分(44),1,45
國立屏東大學,商業自動化與管理學系,總級分(46),1,45
實踐大學,風險管理與保險學系（臺北校區）,總級分(47),1,45
國立屏東科技大學,農企業管理系,(111學年度商管群新增),1,46
國立屏東科技大學,資訊管理系,總級分(47),1,46
國立屏東科技大學,工業管理系,總級分(46),1,46
國立屏東科技大學,企業管理系,總級分(52),1,46
國立臺北護理健康大學,健康事業管理系,總級分(49),1,46
國立臺中科技大學,老人服務事業管理系,總級分(26),1,46
朝陽科技大學,行銷與流通管理系,總級分(45),1,46
南臺科技大學,行銷與流通管理系,總級分(26),1,46
致理科技大學,行銷與流通管理系,總級分(41),1,46
國立臺東專科學校,行銷與流通管理科,總級分(30),1,46
國立屏東大學,企業管理學系,總級分(48),1,46
國立屏東大學,資訊管理學系,總級分(45),1,46
國立勤益科技大學,工業工程與管理系,"超篩總級分(48),數學(10)",5,47
國立高雄科技大學,漁業生產與管理系,總級分(47),3,47
致理科技大學,行銷與流通管理系,總級分(41),3,47
國立聯合大學,資訊管理學系,"總級分(48),專一(7)",3,47
國立屏東科技大學,休閒運動健康系,09商管群/總級分(46),2,47
國立臺北護理健康大學,健康事業管理系,總級分(49),2,47
國立臺中科技大學,休閒事業經營系,總級分(54),2,47
朝陽科技大學,財務金融系,總級分(45),2,47
致理科技大學,財務金融系,總級分(45),2,47
國立屏東科技大學,工業管理系,總級分(46),1,47
國立臺中科技大學,應用中文系,總級分(53),1,47
朝陽科技大學,企業管理系,總級分(40),1,47
朝陽科技大學,保險金融管理系,專一(7),1,47
朝陽科技大學,休閒事業管理系,總級分(41),1,47
朝陽科技大學,環境工程與管理系,總級分(30),1,47
嘉藥學校財團法人嘉南藥理大學,藥粧生技產業學士學位學程,總級分(25),1,47
弘光科技大學,護理系,總級分(40),1,47
中華醫事科技大學,語言治療系,(111學年度商管群新增),1,47
長庚學校財團法人長庚科技大學,護理系（林口校區）,總級分(47),1,47
文藻外語大學,應用華語文系,總級分(33),1,47
致理科技大學,企業管理系,總級分(41),1,47
國立體育大學,休閒產業經營學系,(111學年度商管群新增),1,47
國立屏東大學,商業自動化與管理學系,總級分(46),1,47
國立屏東大學,應用英語學系,總級分(47),1,47
中原大學,國際經營與貿易學系,"09商管群/超篩總級分(57),國文(9),英文(12)",1,47
中原大學,會計學系,"超篩總級分(52),數學+總級分(58),英文+專二(21)",1,47
逢甲大學,土地管理學系,總級分(33),1,47
銘傳大學,國際企業學系（台北校區）,總級分(36),1,47
實踐大學,國際經營與貿易學系（臺北校區）,總級分(31),1,47
實踐大學,風險管理與保險學系（臺北校區）,總級分(47),1,47
高雄醫學大學,醫務管理暨醫療資訊學系,"超篩總級分(54),英文(8),數學(8),專一(12)",1,47
